Episode,AvgReward,WinRate_Boss,Epsilon
500,-11.24,61.6,0.9640
1000,-15.08,61.8,0.9287
1500,-5.77,68.8,0.8943
2000,-15.52,62.2,0.8614
2500,-13.91,65.0,0.8297
3000,-18.87,62.4,0.7993
3500,-18.63,63.6,0.7700
4000,-20.64,62.2,0.7417
4500,-21.32,62.8,0.7144
5000,-16.53,67.2,0.6879
5500,-14.92,68.8,0.6623
6000,-19.30,65.4,0.6378
6500,-26.73,61.0,0.6146
7000,-15.30,70.8,0.5916
7500,-23.10,63.4,0.5699
8000,-24.71,64.2,0.5489
8500,-23.96,64.8,0.5287
9000,-27.31,63.8,0.5092
9500,-27.60,64.0,0.4905
10000,-27.32,64.6,0.4724
10500,-30.38,62.2,0.4551
11000,-25.35,65.6,0.4384
11500,-27.85,64.6,0.4222
12000,-24.77,67.2,0.4066
12500,-23.81,68.0,0.3915
13000,-28.00,64.8,0.3771
13500,-32.49,61.8,0.3632
14000,-24.93,67.0,0.3498
14500,-24.31,69.6,0.3369
15000,-25.87,67.2,0.3244
15500,-27.73,68.0,0.3124
16000,-27.71,67.8,0.3009
16500,-29.97,64.4,0.2898
17000,-29.84,65.4,0.2791
17500,-24.37,70.4,0.2687
18000,-26.67,68.4,0.2587
18500,-29.29,67.2,0.2492
19000,-25.42,69.4,0.2399
19500,-26.26,70.0,0.2310
20000,-22.92,71.6,0.2223
20500,-29.46,67.6,0.2141
21000,-28.72,67.8,0.2062
21500,-30.22,67.2,0.1986
22000,-26.62,70.8,0.1913
22500,-27.71,68.8,0.1842
23000,-22.82,72.8,0.1773
23500,-24.77,72.0,0.1707
24000,-30.55,67.8,0.1644
24500,-21.54,73.8,0.1583
25000,-31.44,67.2,0.1524
25500,-25.63,71.4,0.1468
26000,-26.17,71.6,0.1413
26500,-27.91,70.6,0.1361
27000,-28.52,70.0,0.1310
27500,-25.89,72.2,0.1261
28000,-23.97,74.2,0.1214
28500,-27.32,70.6,0.1169
29000,-22.09,75.6,0.1125
29500,-28.48,69.8,0.1084
30000,-26.08,72.6,0.1043
30500,-29.34,70.4,0.1005
31000,-21.75,76.0,0.0967
31500,-27.10,71.4,0.0931
32000,-23.00,75.4,0.0896
32500,-28.22,71.4,0.0863
33000,-26.02,72.4,0.0831
33500,-23.80,74.2,0.0800
34000,-21.03,76.2,0.0770
34500,-26.92,72.4,0.0741
35000,-30.40,69.8,0.0714
35500,-23.77,75.2,0.0687
36000,-21.51,77.2,0.0662
36500,-28.10,71.4,0.0637
37000,-26.09,73.6,0.0613
37500,-23.89,74.6,0.0590
38000,-23.94,75.0,0.0568
38500,-21.41,76.6,0.0547
39000,-25.45,73.6,0.0527
39500,-27.04,72.8,0.0507
40000,-23.05,75.2,0.0488
40500,-21.05,76.6,0.0470
41000,-25.18,73.8,0.0452
41500,-26.33,73.4,0.0435
42000,-26.85,73.6,0.0419
42500,-19.44,78.8,0.0403
43000,-21.12,77.8,0.0388
43500,-25.04,74.2,0.0374
44000,-23.95,75.2,0.0360
44500,-27.74,72.2,0.0347
45000,-20.95,77.6,0.0334
45500,-22.39,76.6,0.0321
46000,-23.39,75.6,0.0309
46500,-22.06,77.0,0.0297
47000,-21.05,77.0,0.0286
47500,-24.03,75.8,0.0276
48000,-24.96,74.2,0.0265
48500,-23.92,75.8,0.0255
49000,-21.83,77.2,0.0246
49500,-21.12,78.2,0.0237
50000,-27.29,72.6,0.0228
50500,-21.22,77.6,0.0219
51000,-20.35,78.4,0.0211
51500,-20.85,78.2,0.0203
52000,-24.42,75.2,0.0196
52500,-24.63,75.6,0.0188
53000,-23.96,76.0,0.0181
53500,-18.38,79.8,0.0174
54000,-24.03,75.6,0.0168
54500,-22.38,76.8,0.0162
55000,-25.43,75.2,0.0156
55500,-23.87,75.8,0.0150
56000,-26.00,74.0,0.0144
56500,-22.81,76.6,0.0139
57000,-19.72,79.2,0.0134
57500,-22.06,77.2,0.0129
58000,-22.15,76.6,0.0124
58500,-19.29,79.2,0.0119
59000,-19.77,79.0,0.0115
59500,-24.37,75.6,0.0110
60000,-21.34,77.8,0.0106
60500,-24.64,74.8,0.0102
61000,-22.72,76.6,0.0098
61500,-26.01,73.8,0.0095
62000,-25.22,75.0,0.0091
62500,-22.62,76.0,0.0088
63000,-24.53,75.8,0.0085
63500,-20.56,78.8,0.0081
64000,-21.13,77.8,0.0078
64500,-24.08,76.0,0.0075
65000,-18.09,80.6,0.0073
